Year,Chart,Artist,Song,Genre,Original Genre
1962,34,Love Letters,Ketty Lester,N/A,
1962,35,Party Lights,Claudine Clark,N/A,
1962,36,Cotton Fields,The Highwaymen,country,outlaw country
1962,37,Alley Cat,Bent Fabric,N/A,
1962,38,Twist and Shout,The Isley Brothers,disco,classic soul disco funk
1962,39,Theme from Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain,N/A,
1962,40,Tuff,Ace Cannon,N/A,
1962,41,Lover Please,Clyde McPhatter,rock,doo-wop rhythm and blues rock-and-roll
1962,42,I Know (You Don't Love Me No More),Barbara George,r&b,new orleans soul rhythm and blues
1962,43,Young World,Ricky Nelson,adult standards,adult standards bubblegum pop lounge
1962,44,Baby It's You,The Shirelles,adult standards,adult standards classic girl group doo-wop
1962,45,Speedy Gonzales,Pat Boone,adult standards,adult standards easy listening lounge
1962,46,A Little Bitty Tear,Burl Ives,adult standards,adult standards american folk revival lounge
1962,47,Crying in the Rain,The Everly Brothers,adult standards,adult standards bubblegum pop lounge
1962,48,Al di la,Emilio Pericoli,N/A,swing italiano
1962,49,Shout! Shout! (Knock Yourself Out),Ernie Maresca,N/A,
1962,50,What's Your Name,Don and Juan,r&b,doo-wop
1962,51,Smoky Places,The Corsairs,N/A,
1962,52,Having a Party,Sam Cooke,rock,adult standards classic soul rock-and-roll
1962,53,Green Onions,Booker T. & the M.G.'s,funk,classic soul funk instrumental funk
1962,54,You Don't Know Me,Ray Charles,adult standards,adult standards classic soul jazz blues
1962,55,Sherry,The Four Seasons,adult standards,adult standards bubblegum pop doo-wop
